"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.569193750E-1,-4.280798035E0,-8.747958527E0,8.834628296E-1,9.779187940E0
9.668763750E-1,-4.250710602E0,-8.764573975E0,9.008267212E-1,9.782524539E0
9.768343750E-1,-4.207001495E0,-8.758436737E0,9.099577332E-1,9.758949674E0
9.867913750E-1,-4.157005463E0,-8.763226776E0,9.065148926E-1,9.741488962E0
9.967483750E-1,-4.114493866E0,-8.807384949E0,8.893006897E-1,9.761656884E0
1.006705375E0,-4.111949158E0,-8.853938141E0,8.876541138E-1,9.802462767E0
1.016662375E0,-4.112248535E0,-8.864865417E0,8.575666809E-1,9.809783254E0
1.026620375E0,-4.084256744E0,-8.838071136E0,8.631051636E-1,9.774333997E0
1.036577375E0,-4.075874176E0,-8.846453705E0,8.521778870E-1,9.777458801E0
1.046534375E0,-4.109254761E0,-8.873697052E0,8.484356689E-1,9.815717862E0
1.056491375E0,-4.138743439E0,-8.899892578E0,8.352630615E-1,9.850631936E0
1.066448375E0,-4.120182037E0,-8.909322968E0,8.399034119E-1,9.851770069E0
1.076406375E0,-4.100273438E0,-8.917406158E0,8.568182373E-1,9.852233876E0
1.086363375E0,-4.067940674E0,-8.888516235E0,8.915460205E-1,9.815738204E0
1.096320375E0,-4.038751373E0,-8.846753082E0,9.111552429E-1,9.767638232E0
1.106277375E0,-4.078269196E0,-8.841963043E0,9.211843872E-1,9.780652880E0
1.116234375E0,-4.144730988E0,-8.856333160E0,9.202862549E-1,9.821423461E0
1.126192375E0,-4.113595734E0,-8.841513977E0,9.189390564E-1,9.794819460E0
1.136149375E0,-4.092938690E0,-8.834328918E0,9.125024414E-1,9.779068221E0
1.146106375E0,-4.105213165E0,-8.787925415E0,8.972341919E-1,9.740915636E0
1.156063375E0,-4.148173828E0,-8.702004089E0,8.804690552E-1,9.680260691E0
1.166020375E0,-4.270619202E0,-8.654403076E0,8.577163696E-1,9.688785184E0
1.175978375E0,-4.388124847E0,-8.625962219E0,8.607101440E-1,9.716155919E0
1.185935375E0,-4.469256134E0,-8.659193115E0,8.610095215E-1,9.782495244E0
1.195892375E0,-4.528981934E0,-8.713230743E0,9.045689392E-1,9.861557296E0
1.205849375E0,-4.580474854E0,-8.708590393E0,9.761201477E-1,9.888028472E0
1.215806375E0,-4.593048706E0,-8.679850159E0,1.035247192E0,9.874595280E0
1.225764375E0,-4.547693024E0,-8.645870819E0,1.085841980E0,9.829122385E0
1.235721375E0,-4.477489014E0,-8.639883270E0,1.108145599E0,9.794053168E0
1.245678375E0,-4.421804810E0,-8.689729614E0,1.077609100E0,9.809434230E0
1.255635375E0,-4.369563446E0,-8.739875336E0,1.042282562E0,9.826742010E0
1.265592375E0,-4.324656830E0,-8.795260162E0,9.833052063E-1,9.850185133E0
1.275550375E0,-4.289929047E0,-8.802594910E0,9.325607300E-1,9.836607031E0
1.285507375E0,-4.224215698E0,-8.773405609E0,8.741821289E-1,9.776545333E0
