"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.776980417E-1,4.053420868E0,-8.940458221E0,1.082698517E0,9.875942994E0
8.876550417E-1,3.986659698E0,-8.891360321E0,1.091829529E0,9.805194319E0
8.976130417E-1,4.010011139E0,-8.896599426E0,1.077459412E0,9.817870923E0
9.075700417E-1,3.956721954E0,-8.851842499E0,1.070274353E0,9.754806581E0
9.175270417E-1,4.007466431E0,-8.887618103E0,1.053509216E0,9.806091189E0
9.274840417E-1,3.991449738E0,-8.901988220E0,1.080902252E0,9.815570027E0
9.374410417E-1,3.979923706E0,-8.933123474E0,1.126108246E0,9.844216957E0
9.473990417E-1,3.959266663E0,-8.946296082E0,1.170266418E0,9.852995969E0
9.573560417E-1,3.958218842E0,-8.957223358E0,1.197509766E0,9.865767903E0
9.673130417E-1,4.009711761E0,-9.000483398E0,1.205892334E0,9.926765140E0
9.772700417E-1,3.961811371E0,-8.971743164E0,1.198856964E0,9.880555792E0
9.872280417E-1,3.996838531E0,-8.990903320E0,1.160536652E0,9.907467188E0
9.971850417E-1,3.942800903E0,-8.932524719E0,1.107546844E0,9.826613701E0
1.007142042E0,3.992497559E0,-8.939111023E0,1.054706726E0,9.846834462E0
1.017099042E0,4.027375031E0,-8.948840790E0,1.000519409E0,9.864204996E0
1.027056042E0,3.968846741E0,-8.889713745E0,9.629475403E-1,9.782945512E0
1.037014042E0,3.967499542E0,-8.847651215E0,9.181906128E-1,9.739869539E0
1.046971042E0,4.021387482E0,-8.860225067E0,8.906478882E-1,9.770793170E0
1.056928042E0,4.040996704E0,-8.859177246E0,8.611592102E-1,9.775288795E0
1.066885042E0,4.055067444E0,-8.866062927E0,8.346643066E-1,9.785055355E0
1.076842042E0,4.082460480E0,-8.876391449E0,8.023315430E-1,9.803088525E0
1.086800042E0,4.124672699E0,-8.905131683E0,7.843688965E-1,9.845279566E0
1.096757042E0,4.135899353E0,-8.903934174E0,7.765850830E-1,9.848288766E0
1.106714042E0,4.089346161E0,-8.864566040E0,7.732919312E-1,9.792919050E0
1.116671042E0,4.013304291E0,-8.782686310E0,7.864645386E-1,9.688174060E0
1.126629042E0,4.061653748E0,-8.764573975E0,7.972421265E-1,9.692800582E0
1.136586042E0,4.256847839E0,-8.779393158E0,8.213420105E-1,9.791481014E0
1.146543042E0,4.377197571E0,-8.765472107E0,8.427474976E-1,9.833798004E0
1.156500042E0,4.421206055E0,-8.764723663E0,8.749305725E-1,9.855604871E0
1.166458042E0,4.444557495E0,-8.750652924E0,8.973838806E-1,9.855623559E0
1.176415042E0,4.442761230E0,-8.730744324E0,9.171427917E-1,9.838962074E0
1.186372042E0,4.446802826E0,-8.732690277E0,9.286688232E-1,9.843594904E0
1.196329042E0,4.484823761E0,-8.767567749E0,9.369017029E-1,9.892505911E0
1.206286042E0,4.512366486E0,-8.794661407E0,9.358538818E-1,9.928914496E0
1.216244042E0,4.510121155E0,-8.803792419E0,9.250762939E-1,9.934974582E0
1.226201042E0,4.490212555E0,-8.790170746E0,9.367520142E-1,9.914969232E0
1.236158042E0,4.464017029E0,-8.744515686E0,9.306147766E-1,9.862050825E0
1.246115042E0,4.429738312E0,-8.706494751E0,9.111552429E-1,9.811005873E0
1.256072042E0,4.359384613E0,-8.648714905E0,8.867559814E-1,9.725782225E0
1.266030042E0,4.267625427E0,-8.653654633E0,8.422984314E-1,9.685444333E0
1.275987042E0,4.205953674E0,-8.746910706E0,8.074209595E-1,9.739118123E0
1.285944042E0,4.183051300E0,-8.820108490E0,7.713459778E-1,9.792201314E0
1.295901042E0,4.179309082E0,-8.866811371E0,7.640112305E-1,9.832124971E0
1.305859042E0,4.171674957E0,-8.876092072E0,7.824229431E-1,9.838702560E0
1.315816042E0,4.158202972E0,-8.871002655E0,7.783813477E-1,9.828083109E0
1.325773042E0,4.191134491E0,-8.876541138E0,8.087681580E-1,9.849502364E0
1.335730042E0,4.233197021E0,-8.858877869E0,8.348139954E-1,9.853760121E0
1.345687042E0,4.301305389E0,-8.847351837E0,8.596623230E-1,9.875013007E0
1.355645042E0,4.376598816E0,-8.837771759E0,8.765771484E-1,9.900970375E0
1.365602042E0,4.411775665E0,-8.832382965E0,8.734336853E-1,9.911490290E0
1.375559042E0,4.420457611E0,-8.818162537E0,8.668473816E-1,9.902113936E0
1.385516042E0,4.409680023E0,-8.834927673E0,8.527766418E-1,9.911026834E0
1.395474042E0,4.375101929E0,-8.858129425E0,7.967930603E-1,9.911753275E0
1.405431042E0,4.329596558E0,-8.881929932E0,7.292834473E-1,9.907872628E0
1.415388042E0,4.251159668E0,-8.928333435E0,6.637197876E-1,9.911005015E0
1.425345042E0,4.201313324E0,-8.935668182E0,6.075865173E-1,9.892742839E0
1.435302042E0,4.175267487E0,-8.884624329E0,5.682183838E-1,9.833223285E0
1.445260042E0,4.124073944E0,-8.831634521E0,5.774990845E-1,9.764182475E0
1.455217042E0,4.097579041E0,-8.810528412E0,5.776487732E-1,9.733922282E0
1.465174042E0,4.083208923E0,-8.785231018E0,5.863307190E-1,9.705496528E0
1.475131042E0,4.078119507E0,-8.755143585E0,5.956114197E-1,9.676691112E0
1.485089042E0,4.081113281E0,-8.753347321E0,5.959107971E-1,9.676346656E0
1.495046042E0,4.104165344E0,-8.777297516E0,6.195616150E-1,9.709221465E0
1.505003042E0,4.145928497E0,-8.838669891E0,6.412664795E-1,9.783763655E0
1.514960042E0,4.117038574E0,-8.828640747E0,6.698570251E-1,9.764405384E0
1.524917042E0,4.121978302E0,-8.854536896E0,7.014413452E-1,9.792116662E0
1.534875042E0,4.091441803E0,-8.824449463E0,7.328759766E-1,9.754379096E0
1.544832042E0,4.101470947E0,-8.828640747E0,7.652087402E-1,9.764860766E0
1.554789042E0,4.019890594E0,-8.823850708E0,8.170010376E-1,9.730742644E0
1.564746042E0,3.976480865E0,-8.860674133E0,9.009764099E-1,9.753753363E0
1.574704042E0,3.928430786E0,-8.942254486E0,9.717791748E-1,9.815336902E0
1.584661042E0,3.884122925E0,-8.993747406E0,9.933343506E-1,9.846858201E0
1.594618042E0,3.901187439E0,-9.108408966E0,1.017434235E0,9.960800658E0
1.604575042E0,3.802841949E0,-9.124275970E0,1.017134857E0,9.937232119E0
1.614532042E0,3.638633423E0,-9.073232117E0,1.053359528E0,9.832230699E0
1.624490042E0,3.641327820E0,-9.099577332E0,1.057550812E0,9.857991156E0
1.634447042E0,3.585793304E0,-9.069639587E0,1.062041473E0,9.810413241E0
1.644404042E0,3.527414703E0,-9.012757874E0,1.044378204E0,9.734638402E0
1.654361417E0,3.547622681E0,-8.988059235E0,1.015637970E0,9.716087483E0
1.664318417E0,3.655398560E0,-8.890462189E0,9.635462952E-1,9.660780404E0
1.674276417E0,3.886368256E0,-8.725954285E0,9.256750488E-1,9.597031348E0
1.684233417E0,4.080215149E0,-8.737929382E0,8.135581970E-1,9.677884195E0
1.694190417E0,4.229754181E0,-8.802445221E0,6.991960144E-1,9.790951811E0
1.704147417E0,4.359833679E0,-8.819509735E0,6.146218872E-1,9.857467309E0
1.714105417E0,4.457131348E0,-8.804391174E0,5.752537537E-1,9.885051375E0
1.724062417E0,4.477788391E0,-8.750802612E0,5.641767883E-1,9.846087075E0
1.734019417E0,4.481530609E0,-8.711135101E0,5.748046875E-1,9.813174399E0
1.743976417E0,4.489015045E0,-8.681496735E0,5.927673340E-1,9.791374507E0
1.753933417E0,4.505480804E0,-8.695417786E0,6.240522766E-1,9.813209923E0
1.763891417E0,4.529880066E0,-8.729696503E0,6.334826660E-1,9.855390136E0
1.773848417E0,4.546345825E0,-8.739276581E0,6.195616150E-1,9.870565947E0
1.783805417E0,4.564458160E0,-8.741222534E0,6.165678406E-1,9.880455738E0
1.793762417E0,4.565056915E0,-8.750503235E0,6.071374512E-1,9.888360197E0
1.803719417E0,4.561913452E0,-8.753347321E0,6.042933655E-1,9.889252456E0
1.813677417E0,4.557422791E0,-8.768016815E0,6.030958557E-1,9.900098281E0
1.823634417E0,4.556674347E0,-8.769962769E0,5.905220032E-1,9.900719383E0
1.833591417E0,4.576582947E0,-8.778195648E0,5.712121582E-1,9.916053330E0
1.843548417E0,4.567451935E0,-8.768615570E0,5.661227417E-1,9.903066755E0
1.853506417E0,4.555925903E0,-8.754993896E0,5.559439087E-1,9.885112675E0
1.863463417E0,4.535268860E0,-8.754095764E0,5.450166321E-1,9.874203735E0
1.873420417E0,4.448599091E0,-8.768765259E0,5.387297058E-1,9.847411220E0
