"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.711463833E0,4.301604767E0,-8.785979462E0,7.349716187E-1,9.810067378E0
1.721420833E0,4.340523834E0,-8.817264404E0,7.292834473E-1,9.854752817E0
1.731377833E0,4.373455353E0,-8.857081604E0,7.283853149E-1,9.904824654E0
1.741334833E0,4.386328583E0,-8.879534912E0,7.322772217E-1,9.930873507E0
1.751291833E0,4.365372162E0,-8.886121216E0,7.300318909E-1,9.927364753E0
1.761248833E0,4.329746246E0,-8.870403900E0,7.505392456E-1,9.899195779E0
1.771206833E0,4.289030914E0,-8.868158569E0,7.776329041E-1,9.881535080E0
1.781163833E0,4.247267761E0,-8.873846741E0,7.827223206E-1,9.868996588E0
1.791120833E0,4.213737488E0,-8.867559814E0,7.647596741E-1,9.847540710E0
1.801077833E0,4.201013947E0,-8.865015106E0,7.503895569E-1,9.838703954E0
1.811034833E0,4.209396515E0,-8.881630554E0,7.129673767E-1,9.854476282E0
1.820991833E0,4.197571106E0,-8.891210632E0,6.890171814E-1,9.856367200E0
1.830949833E0,4.203558655E0,-8.901988220E0,6.565347290E-1,9.866424757E0
1.840906833E0,4.213587799E0,-8.914113007E0,6.011499023E-1,9.878112878E0
1.850863833E0,4.225113831E0,-8.933871918E0,5.522016907E-1,9.898008943E0
1.860820833E0,4.238286438E0,-8.958420868E0,5.478607178E-1,9.925549241E0
1.870777833E0,4.223916321E0,-8.977730713E0,6.007008362E-1,9.939917471E0
1.880734833E0,4.223317566E0,-8.982969818E0,6.506968689E-1,9.947540622E0
1.890692833E0,4.225113831E0,-8.971892853E0,6.716532898E-1,9.939696494E0
1.900649833E0,4.224066010E0,-8.948092346E0,6.578819275E-1,9.916849244E0
1.910606833E0,4.214785309E0,-8.893455963E0,6.177653503E-1,9.861014562E0
1.920563833E0,4.193379822E0,-8.837322693E0,5.803431702E-1,9.798954276E0
1.930520833E0,4.173321533E0,-8.801846466E0,5.851332092E-1,9.758662547E0
1.940477833E0,4.142635345E0,-8.769064636E0,6.348298645E-1,9.719101355E0
1.950434833E0,4.126468964E0,-8.745114441E0,7.005432129E-1,9.695129369E0
1.960392833E0,4.118086395E0,-8.742420044E0,7.491920471E-1,9.692772179E0
1.970349833E0,4.100273438E0,-8.746012573E0,7.897576904E-1,9.691681763E0
1.980306833E0,4.099225616E0,-8.746910706E0,8.156538391E-1,9.694193558E0
1.990263833E0,4.116140442E0,-8.763675842E0,7.975415039E-1,9.714972921E0
2.000220833E0,4.148024139E0,-8.799900513E0,7.821235657E-1,9.759921648E0
2.010177833E0,4.197571106E0,-8.828491058E0,7.759863281E-1,9.806325119E0
2.020135833E0,4.223018188E0,-8.856931915E0,7.776329041E-1,9.842958829E0
2.030092833E0,4.248764648E0,-8.874744873E0,7.701484680E-1,9.869459269E0
2.040049833E0,4.270619202E0,-8.891060944E0,7.761360168E-1,9.894015372E0
2.050006833E0,4.276157684E0,-8.886270905E0,7.692503357E-1,9.891566166E0
2.059963833E0,4.274211731E0,-8.870703278E0,7.524851990E-1,9.875449181E0
2.069920833E0,4.283342743E0,-8.866362305E0,7.280859375E-1,9.873677871E0
2.079878833E0,4.292922821E0,-8.864566040E0,6.987469482E-1,9.874105768E0
2.089835833E0,4.300856323E0,-8.885073395E0,6.737489319E-1,9.894232258E0
2.099792833E0,4.303401031E0,-8.887169037E0,6.601272583E-1,9.896302437E0
2.109749833E0,4.295018463E0,-8.888516235E0,6.439608765E-1,9.892804965E0
2.119706833E0,4.287384338E0,-8.892108765E0,6.509962463E-1,9.893182443E0
2.129663833E0,4.287833405E0,-8.872200165E0,6.586303711E-1,9.875993370E0
2.139621833E0,4.268673248E0,-8.840466156E0,6.497987366E-1,9.838579753E0
2.149578833E0,4.251009979E0,-8.794661407E0,6.441105652E-1,9.789383716E0
2.159535833E0,4.229604492E0,-8.762628021E0,6.420149231E-1,9.751173630E0
2.169492833E0,4.223616943E0,-8.733438721E0,6.490502930E-1,9.722816375E0
2.179449833E0,4.217330017E0,-8.714727631E0,6.818321228E-1,9.705526528E0
