"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.175115583E0,4.478237457E0,-8.701405334E0,8.735833740E-1,9.825080836E0
1.185072583E0,4.484075317E0,-8.706494751E0,8.273295593E-1,9.828247886E0
1.195029583E0,4.487967224E0,-8.702453156E0,8.015830994E-1,9.824310469E0
1.204986583E0,4.488565979E0,-8.704698486E0,7.774832153E-1,9.824636402E0
1.214944583E0,4.490511932E0,-8.717272339E0,7.553292847E-1,9.834940609E0
1.224901583E0,4.484674072E0,-8.737480316E0,7.267387390E-1,9.848046152E0
1.234858583E0,4.483326874E0,-8.758287048E0,7.117698669E-1,9.864807561E0
1.244815583E0,4.475243683E0,-8.753646698E0,6.976991272E-1,9.856009365E0
1.254773583E0,4.468507690E0,-8.756341095E0,6.671626282E-1,9.853231771E0
1.264730583E0,4.447700958E0,-8.746761017E0,6.393205261E-1,9.833443081E0
1.274687583E0,4.433929596E0,-8.742869110E0,6.194119263E-1,9.822482531E0
1.284644583E0,4.405488739E0,-8.728798370E0,6.030958557E-1,9.796120489E0
1.294601583E0,4.397255859E0,-8.705746307E0,5.872288513E-1,9.770911707E0
1.304559583E0,4.384232941E0,-8.690478058E0,5.755531311E-1,9.750752215E0
1.314516583E0,4.363126831E0,-8.681646423E0,5.629792786E-1,9.732666954E0
1.324473583E0,4.365072784E0,-8.722212067E0,5.391787720E-1,9.768395851E0
1.334430583E0,4.341571655E0,-8.755143585E0,5.321434021E-1,9.786979117E0
1.344388583E0,4.275109863E0,-8.813821564E0,5.128335571E-1,9.809332962E0
1.354345583E0,4.239483948E0,-8.879534912E0,4.902305603E-1,9.851887657E0
1.364302583E0,4.220623169E0,-8.906478882E0,4.951702881E-1,9.868344320E0
1.374259583E0,4.196523285E0,-8.886420593E0,5.066963196E-1,9.840529447E0
1.384216583E0,4.174369354E0,-8.850345612E0,5.182223511E-1,9.799108702E0
1.394174583E0,4.167932739E0,-8.839867401E0,5.565426636E-1,9.789007035E0
1.404131583E0,4.164340210E0,-8.842412109E0,5.879772949E-1,9.791613687E0
1.414088583E0,4.154760132E0,-8.839418335E0,6.168672180E-1,9.786617057E0
1.424045583E0,4.136348419E0,-8.835077362E0,6.316864014E-1,9.775837455E0
1.434003583E0,4.116739197E0,-8.831035767E0,6.604266357E-1,9.765802459E0
1.443960583E0,4.122277679E0,-8.841513977E0,6.783892822E-1,9.778842196E0
1.453917583E0,4.107907562E0,-8.867110748E0,6.888674927E-1,9.796688011E0
1.463874583E0,4.113146667E0,-8.873247986E0,6.569837952E-1,9.802251427E0
1.473832583E0,4.143533478E0,-8.924142151E0,5.766009521E-1,9.856046442E0
1.483789583E0,4.192481689E0,-9.006620636E0,4.710704041E-1,9.945754135E0
1.493746583E0,4.244872742E0,-9.123677216E0,3.749702454E-1,1.006980800E1
1.503703583E0,4.324058075E0,-9.219927063E0,3.149450684E-1,1.018841124E1
1.513660583E0,4.374203796E0,-9.262288971E0,2.853067017E-1,1.024719746E1
1.523618583E0,4.378544769E0,-9.209149475E0,2.960842896E-1,1.020136041E1
1.533575583E0,4.309837646E0,-9.080417175E0,3.439846802E-1,1.005718659E1
1.543532583E0,4.190835114E0,-8.906778259E0,4.269122314E-1,9.852717999E0
1.553489583E0,4.062102814E0,-8.761580200E0,5.173242188E-1,9.671276608E0
1.563447583E0,3.967948608E0,-8.667126617E0,5.876779175E-1,9.550343727E0
1.573404583E0,3.913910980E0,-8.616831207E0,6.521937561E-1,9.486508099E0
1.583361583E0,3.892505493E0,-8.623567200E0,6.878196716E-1,9.486337869E0
1.593318583E0,3.898792419E0,-8.662336578E0,7.292834473E-1,9.527251003E0
1.603276583E0,3.917503510E0,-8.698710938E0,7.705975342E-1,9.571218641E0
1.613233583E0,3.931125183E0,-8.737480316E0,8.003855896E-1,9.614464341E0
1.623190583E0,3.987557831E0,-8.792116699E0,8.403524780E-1,9.690620506E0
1.633147583E0,4.101620636E0,-8.840615845E0,8.705895996E-1,9.784564712E0
1.643104583E0,4.236041107E0,-8.817114716E0,9.102571106E-1,9.824160228E0
1.653062583E0,4.334236908E0,-8.790320435E0,9.382489014E-1,9.845590582E0
1.663019583E0,4.345313873E0,-8.738977203E0,9.234297180E-1,9.803274844E0
1.672976583E0,4.303101654E0,-8.676856384E0,8.915460205E-1,9.726220996E0
1.682933583E0,4.294719086E0,-8.671317902E0,8.268804932E-1,9.711853455E0
1.692891583E0,4.310436401E0,-8.702602844E0,7.336244202E-1,9.739269122E0
1.702848583E0,4.338428192E0,-8.741222534E0,6.424639893E-1,9.779759228E0
1.712805583E0,4.339925079E0,-8.783584442E0,5.581892395E-1,9.813148352E0
1.722762583E0,4.351451111E0,-8.814570007E0,4.954696655E-1,9.842624720E0
1.732719583E0,4.375101929E0,-8.836723938E0,4.541555786E-1,9.870940387E0
1.742677583E0,4.381837921E0,-8.852141876E0,4.302053833E-1,9.886657475E0
1.752634583E0,4.376898193E0,-8.853489075E0,4.031117249E-1,9.884533659E0
1.762592167E0,4.358187103E0,-8.847950592E0,3.781137085E-1,9.870308733E0
1.772549167E0,4.339925079E0,-8.824748840E0,3.665876770E-1,9.841012565E0
1.782507167E0,4.333488464E0,-8.808881836E0,3.573069763E-1,9.823603705E0
1.792464167E0,4.331692200E0,-8.803792419E0,3.531156921E-1,9.818095995E0
